word,total_count,episode_count,episodes
back,395,59,"1x01:3,1x02:4,1x03:6,1x04:2,1x05:12,1x06:6,1x07:7,1x08:8,1x09:2,1x10:9,1x11:1,1x12:5,2x08:11,2x09:4,2x10:3,2x11:14,2x12:7,3x01:10,3x03:10,3x05:5,3x06:5,3x07:7,3x08:5,3x09:6,3x10:6,3x11:8,3x12:6,4x01:2,4x02:7,4x03:12,4x04:8,4x05:9,4x06:13,4x07:6,4x08:3,4x09:12,4x10:5,4x11:3,4x12:7,5x01:8,5x02:7,5x03:2,5x04:4,5x05:5,5x06:6,5x07:13,5x08:6,5x09:10,5x10:4,5x11:7,5x12:4,6x01:9,6x02:10,6x03:9,6x04:8,6x05:4,6x06:10,6x07:9,6x08:1"
never,363,60,"1x01:10,1x02:6,1x03:5,1x04:7,1x05:9,1x06:7,1x07:6,1x08:11,1x09:4,1x10:6,1x11:5,1x12:5,2x08:4,2x09:6,2x10:2,2x11:9,2x12:2,3x01:3,3x02:7,3x03:5,3x05:2,3x06:2,3x07:5,3x08:4,3x09:8,3x10:3,3x11:12,3x12:7,4x01:7,4x02:6,4x03:7,4x04:9,4x05:7,4x06:9,4x07:4,4x08:8,4x09:2,4x10:6,4x11:7,4x12:4,5x01:6,5x02:4,5x03:8,5x04:2,5x05:4,5x06:14,5x07:12,5x08:4,5x09:6,5x10:8,5x11:5,5x12:12,6x01:5,6x02:3,6x03:3,6x04:9,6x05:1,6x06:11,6x07:2,6x08:6"
work,359,60,"1x01:5,1x02:4,1x03:3,1x04:8,1x05:4,1x06:5,1x07:20,1x08:3,1x09:4,1x10:9,1x11:5,1x12:8,2x08:7,2x09:3,2x10:11,2x11:2,2x12:6,3x01:3,3x02:5,3x03:5,3x05:8,3x06:5,3x07:9,3x08:13,3x09:11,3x10:6,3x11:1,3x12:4,4x01:2,4x02:1,4x03:10,4x04:1,4x05:6,4x06:6,4x07:5,4x08:2,4x09:19,4x10:9,4x11:6,4x12:1,5x01:6,5x02:10,5x03:5,5x04:6,5x05:4,5x06:1,5x07:10,5x08:1,5x09:7,5x10:3,5x11:1,5x12:3,6x01:1,6x02:12,6x03:9,6x04:2,6x05:9,6x06:11,6x07:3,6x08:10"
feel,356,59,"1x01:3,1x02:3,1x03:5,1x04:3,1x05:1,1x06:4,1x07:3,1x08:10,1x09:8,1x10:4,1x11:5,1x12:8,2x08:3,2x09:5,2x11:3,2x12:7,3x01:5,3x02:2,3x03:5,3x05:8,3x06:6,3x07:8,3x08:5,3x09:7,3x10:14,3x11:13,3x12:5,4x01:4,4x02:2,4x03:6,4x04:4,4x05:16,4x06:5,4x07:4,4x08:9,4x09:6,4x10:5,4x11:5,4x12:8,5x01:7,5x02:11,5x03:7,5x04:5,5x05:1,5x06:5,5x07:11,5x08:7,5x09:2,5x10:11,5x11:3,5x12:7,6x01:3,6x02:8,6x03:7,6x04:10,6x05:10,6x06:2,6x07:8,6x08:4"
people,356,61,"1x01:12,1x02:6,1x03:9,1x04:5,1x05:3,1x06:4,1x07:3,1x08:5,1x09:2,1x10:3,1x11:6,1x12:11,2x08:10,2x09:12,2x10:3,2x11:4,2x12:9,3x01:7,3x02:10,3x03:5,3x04:1,3x05:5,3x06:3,3x07:6,3x08:14,3x09:7,3x10:9,3x11:8,3x12:5,4x01:5,4x02:2,4x03:11,4x04:4,4x05:10,4x06:7,4x07:7,4x08:4,4x09:4,4x10:5,4x11:3,4x12:5,5x01:5,5x02:4,5x03:1,5x04:9,5x05:7,5x06:6,5x07:3,5x08:9,5x09:2,5x10:4,5x11:7,5x12:8,6x01:2,6x02:3,6x03:4,6x04:1,6x05:13,6x06:4,6x07:3,6x08:7"
give,345,59,"1x01:6,1x02:9,1x03:7,1x04:7,1x05:6,1x06:9,1x07:5,1x08:11,1x09:6,1x10:9,1x11:4,1x12:7,2x08:5,2x09:7,2x10:7,2x11:4,2x12:4,3x01:3,3x02:6,3x03:3,3x05:8,3x06:2,3x07:2,3x08:3,3x09:7,3x10:12,3x11:1,3x12:5,4x01:4,4x02:5,4x03:5,4x04:12,4x05:6,4x06:4,4x08:4,4x09:8,4x10:7,4x11:8,4x12:4,5x01:5,5x02:2,5x03:7,5x04:14,5x05:8,5x06:10,5x07:4,5x08:3,5x09:6,5x10:7,5x11:6,5x12:9,6x01:2,6x02:2,6x03:3,6x04:3,6x05:5,6x06:13,6x07:1,6x08:3"
guy,334,56,"1x01:11,1x02:5,1x03:4,1x04:7,1x05:6,1x06:12,1x07:5,1x08:17,1x09:3,1x10:11,1x11:5,1x12:6,2x08:7,2x09:3,2x10:14,2x11:7,2x12:6,3x01:5,3x02:8,3x03:6,3x05:5,3x06:4,3x07:2,3x08:4,3x10:2,3x12:3,4x02:5,4x03:10,4x04:1,4x05:1,4x06:5,4x07:10,4x08:5,4x09:5,4x10:1,4x12:7,5x01:7,5x02:2,5x03:2,5x04:9,5x05:4,5x06:4,5x07:7,5x08:4,5x09:6,5x10:6,5x11:9,5x12:10,6x01:4,6x02:3,6x03:5,6x04:13,6x05:10,6x06:4,6x07:2,6x08:5"
way,332,59,"1x01:6,1x02:7,1x03:4,1x04:3,1x05:6,1x06:7,1x07:1,1x08:6,1x09:4,1x10:2,1x11:2,1x12:2,2x08:9,2x09:8,2x10:1,2x11:9,2x12:6,3x02:2,3x03:6,3x05:3,3x06:1,3x07:2,3x08:3,3x09:2,3x10:11,3x11:8,3x12:3,4x01:4,4x02:1,4x03:6,4x04:4,4x05:10,4x06:9,4x07:4,4x08:11,4x09:7,4x10:9,4x11:7,4x12:8,5x01:8,5x02:9,5x03:4,5x04:3,5x05:7,5x06:11,5x07:6,5x08:6,5x09:10,5x10:6,5x11:4,5x12:4,6x01:8,6x02:3,6x03:12,6x04:7,6x05:5,6x06:7,6x07:1,6x08:7"
even,327,60,"1x01:12,1x02:12,1x03:7,1x04:4,1x05:6,1x06:5,1x07:4,1x08:3,1x09:6,1x10:8,1x11:4,1x12:2,2x08:3,2x09:8,2x10:2,2x11:3,2x12:2,3x01:6,3x02:6,3x03:4,3x05:2,3x06:4,3x07:4,3x08:5,3x09:5,3x10:11,3x11:8,3x12:3,4x01:11,4x02:4,4x03:8,4x04:3,4x05:4,4x06:3,4x07:5,4x08:3,4x09:2,4x10:7,4x11:2,4x12:1,5x01:7,5x02:5,5x03:6,5x04:2,5x05:6,5x06:19,5x07:7,5x08:3,5x09:8,5x10:7,5x11:6,5x12:3,6x01:2,6x02:5,6x03:5,6x04:12,6x05:6,6x06:6,6x07:6,6x08:4"
something,327,58,"1x01:1,1x02:2,1x03:3,1x04:3,1x05:3,1x06:9,1x07:6,1x08:4,1x09:9,1x10:5,1x11:4,1x12:8,2x08:3,2x09:6,2x10:4,2x11:3,2x12:6,3x01:3,3x02:10,3x03:11,3x05:2,3x06:5,3x07:15,3x08:9,3x09:2,3x10:8,3x11:6,3x12:5,4x01:5,4x02:1,4x03:7,4x04:5,4x05:6,4x06:9,4x07:2,4x08:3,4x09:6,4x10:6,4x11:5,4x12:10,5x01:5,5x02:7,5x03:6,5x04:3,5x05:10,5x06:8,5x07:8,5x08:6,5x09:3,5x10:5,5x11:14,5x12:5,6x02:5,6x03:6,6x04:7,6x05:1,6x07:3,6x08:5"
