word,shows,show_count
away,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
awful,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
awkward,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
babe,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
baby,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
back,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
background,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bad,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
badge,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
badly,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bag,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bake,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
balance,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
ball,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
band,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bank,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bar,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
barely,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bargain,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
base,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
basic,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
basically,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
basket,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bastard,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bat,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bath,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bathtub,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
beach,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bear,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
beat,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
beautiful,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
become,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bed,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bedroom,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
beef,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
beer,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
beg,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
begin,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
beginning,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
behalf,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
behave,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
behavior,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
behind,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
believe,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bell,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
belly,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
belong,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bend,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
benefit,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
besides,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
best,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bet,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
betray,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
better,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
big,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
birth,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
birthday,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bit,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bite,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
black,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
blame,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
blast,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bleed,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bless,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
blind,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
block,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
blood,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bloody,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
blow,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
blue,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
board,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
boat,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
body,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bond,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
