word,artist_count,artist_pct,artists
heart,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
high,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
hold,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
hope,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
know,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
leave,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
let,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
lie,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
life,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
light,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
like,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
line,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
little,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
live,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
long,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
look,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
lose,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
love,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
make,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
man,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
mean,33,100.0,abba; adele; alphaville; bob_dylan; bob_marley_the_wailers; bruno_mars; carpenters; david_bowie; drake; ed_sheeran; elton_john; elvis_presley; eminem; imagine_dragons; johnny_cash; justin_bieber; katy_perry; lady_gaga; lana_del_rey; lil_nas_x; linkin_park; metallica; michael_jackson; perry_como; pharrell_williams; pink_floyd; queen; radiohead; rihanna; sia; taylor_swift; the_beatles; the_weeknd
