word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
bla,bla,NOUN,1,1,Blackout,1.0,False,1949
small,small,ADJ,1,1,Forgotten,1.0,False,1950
split,split,NOUN,1,1,Guilty All the Same,1.0,False,1951
nonsense,nonsense,NOUN,1,1,Guilty All the Same,1.0,False,1952
corporate,corporate,ADJ,1,1,Guilty All the Same,1.0,False,1953
route,route,NOUN,1,1,Guilty All the Same,1.0,False,1954
accounts,account,NOUN,1,1,Guilty All the Same,1.0,False,1955
assets,asset,NOUN,1,1,Guilty All the Same,1.0,False,1956
realty,realty,NOUN,1,1,Guilty All the Same,1.0,False,1957
diving,diving,PROPN,1,1,Friendly Fire,1.0,False,1958
dressed,dress,VERB,1,1,Overflow,1.0,False,1959
fightin,fightin,NOUN,1,1,Overflow,1.0,False,1960
we'rе,we'rе,ADV,1,1,Overflow,1.0,False,1961
wе're,wе're,PROPN,1,1,Overflow,1.0,False,1962
nova,nova,NOUN,1,1,CASTLE OF GLASS,1.0,False,1963
wrap,wrap,VERB,1,1,In Pieces,1.0,False,1964
chill,chill,VERB,1,1,In Pieces,1.0,False,1965
artists,artist,NOUN,1,1,Guilty All the Same,1.0,False,1966
anybody,anybody,PRON,1,1,Guilty All the Same,1.0,False,1967
expense,expense,NOUN,1,1,Guilty All the Same,1.0,False,1968
claim,claim,VERB,1,1,Guilty All the Same,1.0,False,1969
screen,screen,NOUN,1,1,Guilty All the Same,1.0,False,1970
flame,flame,NOUN,1,1,Guilty All the Same,1.0,False,1971
dough,dough,NOUN,1,1,Guilty All the Same,1.0,False,1972
strangers,stranger,NOUN,1,1,Friendly Fire,1.0,False,1973
gall,gall,NOUN,1,1,Guilty All the Same,1.0,False,1974
deal,deal,NOUN,1,1,Guilty All the Same,1.0,False,1975
rearrange,rearrange,VERB,1,1,Guilty All the Same,1.0,False,1976
product,product,NOUN,1,1,Guilty All the Same,1.0,False,1977
rebuilt,rebuild,VERB,1,1,Guilty All the Same,1.0,False,1978
cheap,cheap,ADJ,1,1,Guilty All the Same,1.0,False,1979
drained,drain,VERB,1,1,Guilty All the Same,1.0,False,1980
manipulated,manipulate,VERB,1,1,Guilty All the Same,1.0,False,1981
swingin,swingin,VERB,1,1,Heavy Is the Crown,1.0,False,1982
authentic,authentic,ADJ,1,1,Guilty All the Same,1.0,False,1983
hip,hip,NOUN,1,1,Guilty All the Same,1.0,False,1984
hop,hop,NOUN,1,1,Guilty All the Same,1.0,False,1985
pop,pop,NOUN,1,1,Guilty All the Same,1.0,False,1986
radio,radio,NOUN,1,1,Guilty All the Same,1.0,False,1987
companies,company,NOUN,1,1,Guilty All the Same,1.0,False,1988
stray,stray,VERB,1,1,Guilty All the Same,1.0,False,1989
paths,path,NOUN,1,1,ROADS UNTRAVELED,1.0,False,1990
lone,lone,NOUN,1,1,ROADS UNTRAVELED,1.0,False,1991
beyond,beyond,ADP,1,1,ROADS UNTRAVELED,1.0,True,1992
glad,glad,ADJ,1,1,ROADS UNTRAVELED,1.0,False,1993
disgrace,disgrace,NOUN,1,1,Given Up,1.0,False,1994
heavens,heaven,NOUN,1,1,Iridescent,1.0,False,1995
struck,strike,VERB,1,1,BURN IT DOWN,1.0,False,1996
kissed,kiss,VERB,1,1,BURN IT DOWN,1.0,False,1997
buzzing,buzz,VERB,1,1,Invisible,1.0,False,1998
noises,noise,NOUN,1,1,Invisible,1.0,False,1999
friend,friend,NOUN,1,1,ROADS UNTRAVELED,1.0,False,2000
seat,seat,NOUN,1,1,ROADS UNTRAVELED,1.0,False,2001
alongside,alongside,ADP,1,1,ROADS UNTRAVELED,1.0,False,2002
which,which,PRON,1,1,Forgotten,1.0,True,2003
sends,send,VERB,1,1,Forgotten,1.0,False,2004
tempered,temper,VERB,1,1,Iridescent,1.0,False,2005
