word,total_count,episode_count,episodes
tell,678,61,"1x01:14,1x02:9,1x03:16,1x04:16,1x05:11,1x06:13,1x07:15,2x01:6,2x02:11,2x03:16,2x04:11,2x05:4,2x06:17,2x07:7,2x08:16,2x09:4,2x10:4,2x11:6,2x12:12,2x13:14,3x01:8,3x02:11,3x03:11,3x04:13,3x05:10,3x06:4,3x07:11,3x08:9,3x09:8,3x10:7,3x11:9,3x12:11,3x13:11,4x01:5,4x03:14,4x04:13,4x05:13,4x06:12,4x07:13,4x08:9,4x09:4,4x10:10,4x11:12,4x12:19,4x13:16,5x01:16,5x02:10,5x03:16,5x04:10,5x05:17,5x06:15,5x07:12,5x08:5,5x09:7,5x10:20,5x11:17,5x12:9,5x13:4,5x14:21,5x15:3,5x16:11"
mean,674,61,"1x01:13,1x02:10,1x03:6,1x04:10,1x05:16,1x06:13,1x07:19,2x01:13,2x02:11,2x03:11,2x04:4,2x05:11,2x06:9,2x07:17,2x08:12,2x09:8,2x10:13,2x11:7,2x12:14,2x13:5,3x01:14,3x02:14,3x03:6,3x04:13,3x05:10,3x06:13,3x07:6,3x08:9,3x09:7,3x10:26,3x11:15,3x12:8,3x13:6,4x01:10,4x03:19,4x04:15,4x05:16,4x06:9,4x07:13,4x08:14,4x09:13,4x10:10,4x11:7,4x12:7,4x13:8,5x01:4,5x02:5,5x03:22,5x04:19,5x05:14,5x06:8,5x07:13,5x08:4,5x09:11,5x10:11,5x11:8,5x12:18,5x13:6,5x14:8,5x15:6,5x16:7"
take,567,61,"1x01:11,1x02:4,1x03:7,1x04:7,1x05:8,1x06:7,1x07:12,2x01:11,2x02:7,2x03:8,2x04:14,2x05:5,2x06:5,2x07:5,2x08:22,2x09:9,2x10:8,2x11:7,2x12:11,2x13:9,3x01:4,3x02:9,3x03:5,3x04:4,3x05:8,3x06:10,3x07:3,3x08:11,3x09:15,3x10:6,3x11:12,3x12:7,3x13:9,4x01:8,4x03:10,4x04:8,4x05:11,4x06:8,4x07:14,4x08:5,4x09:9,4x10:8,4x11:11,4x12:11,4x13:4,5x01:13,5x02:14,5x03:13,5x04:15,5x05:7,5x06:12,5x07:9,5x08:7,5x09:10,5x10:8,5x11:15,5x12:14,5x13:16,5x14:9,5x15:11,5x16:7"
look,553,61,"1x01:14,1x02:9,1x03:10,1x04:10,1x05:14,1x06:10,1x07:15,2x01:10,2x02:7,2x03:9,2x04:2,2x05:9,2x06:7,2x07:15,2x08:15,2x09:8,2x10:8,2x11:11,2x12:9,2x13:10,3x01:5,3x02:10,3x03:10,3x04:8,3x05:1,3x06:6,3x07:4,3x08:7,3x09:18,3x10:5,3x11:6,3x12:11,3x13:10,4x01:5,4x03:14,4x04:13,4x05:5,4x06:8,4x07:8,4x08:9,4x09:16,4x10:5,4x11:8,4x12:7,4x13:11,5x01:4,5x02:10,5x03:13,5x04:12,5x05:11,5x06:11,5x07:7,5x08:3,5x09:14,5x10:7,5x11:8,5x12:8,5x13:8,5x14:5,5x15:8,5x16:12"
see,552,61,"1x01:12,1x02:6,1x03:6,1x04:9,1x05:13,1x06:7,1x07:14,2x01:5,2x02:9,2x03:5,2x04:4,2x05:6,2x06:15,2x07:12,2x08:13,2x09:8,2x10:7,2x11:11,2x12:14,2x13:7,3x01:4,3x02:7,3x03:6,3x04:14,3x05:7,3x06:11,3x07:4,3x08:13,3x09:14,3x10:9,3x11:11,3x12:10,3x13:14,4x01:7,4x03:3,4x04:15,4x05:4,4x06:11,4x07:21,4x08:12,4x09:5,4x10:3,4x11:4,4x12:5,4x13:7,5x01:4,5x02:12,5x03:7,5x04:8,5x05:8,5x06:21,5x07:4,5x08:13,5x09:14,5x10:13,5x11:7,5x12:7,5x13:12,5x14:5,5x15:7,5x16:6"
need,523,61,"1x01:7,1x02:3,1x03:5,1x04:11,1x05:10,1x06:8,1x07:6,2x01:10,2x02:10,2x03:5,2x04:8,2x05:9,2x06:8,2x07:6,2x08:9,2x09:21,2x10:4,2x11:18,2x12:7,2x13:2,3x01:2,3x02:9,3x03:7,3x04:9,3x05:7,3x06:8,3x07:6,3x08:8,3x09:11,3x10:8,3x11:7,3x12:7,3x13:14,4x01:8,4x03:13,4x04:11,4x05:7,4x06:13,4x07:4,4x08:6,4x09:10,4x10:8,4x11:14,4x12:10,4x13:8,5x01:7,5x02:6,5x03:15,5x04:9,5x05:4,5x06:10,5x07:16,5x08:5,5x09:7,5x10:16,5x11:7,5x12:6,5x13:5,5x14:15,5x15:7,5x16:6"
would,521,61,"1x01:7,1x02:14,1x03:9,1x04:11,1x05:11,1x06:5,1x07:13,2x01:12,2x02:4,2x03:3,2x04:8,2x05:4,2x06:5,2x07:6,2x08:3,2x09:3,2x10:5,2x11:9,2x12:13,2x13:7,3x01:10,3x02:10,3x03:3,3x04:2,3x05:10,3x06:6,3x07:8,3x08:14,3x09:15,3x10:9,3x11:5,3x12:13,3x13:13,4x01:9,4x03:4,4x04:10,4x05:8,4x06:6,4x07:7,4x08:14,4x09:11,4x10:15,4x11:10,4x12:11,4x13:5,5x01:5,5x02:8,5x03:2,5x04:12,5x05:6,5x06:17,5x07:9,5x08:8,5x09:10,5x10:3,5x11:11,5x12:5,5x13:8,5x14:6,5x15:12,5x16:19"
make,513,60,"1x01:8,1x02:4,1x03:11,1x04:8,1x05:10,1x06:7,1x07:12,2x01:4,2x02:3,2x03:2,2x04:10,2x05:9,2x06:12,2x07:11,2x08:4,2x09:7,2x10:8,2x11:12,2x12:13,2x13:6,3x01:8,3x02:3,3x03:6,3x04:4,3x05:12,3x06:8,3x07:4,3x09:11,3x10:10,3x11:16,3x12:9,3x13:12,4x01:6,4x03:10,4x04:11,4x05:9,4x06:5,4x07:13,4x08:13,4x09:4,4x10:4,4x11:15,4x12:9,4x13:6,5x01:6,5x02:4,5x03:14,5x04:15,5x05:12,5x06:18,5x07:10,5x08:4,5x09:3,5x10:11,5x11:12,5x12:7,5x13:11,5x14:5,5x15:5,5x16:7"
talk,513,61,"1x01:8,1x02:5,1x03:6,1x04:13,1x05:14,1x06:11,1x07:14,2x01:5,2x02:5,2x03:9,2x04:16,2x05:4,2x06:4,2x07:4,2x08:15,2x09:3,2x10:5,2x11:9,2x12:13,2x13:4,3x01:7,3x02:4,3x03:7,3x04:20,3x05:12,3x06:3,3x07:9,3x08:2,3x09:8,3x10:3,3x11:7,3x12:11,3x13:8,4x01:2,4x03:8,4x04:8,4x05:3,4x06:6,4x07:10,4x08:3,4x09:8,4x10:6,4x11:10,4x12:11,4x13:14,5x01:11,5x02:13,5x03:4,5x04:7,5x05:15,5x06:9,5x07:11,5x08:3,5x09:5,5x10:18,5x11:13,5x12:16,5x13:8,5x14:5,5x15:8,5x16:10"
thing,488,61,"1x01:3,1x02:3,1x03:6,1x04:10,1x05:9,1x06:2,1x07:10,2x01:4,2x02:3,2x03:8,2x04:9,2x05:5,2x06:10,2x07:9,2x08:9,2x09:5,2x10:1,2x11:7,2x12:3,2x13:9,3x01:7,3x02:1,3x03:10,3x04:17,3x05:8,3x06:9,3x07:7,3x08:7,3x09:11,3x10:6,3x11:5,3x12:13,3x13:10,4x01:4,4x03:12,4x04:11,4x05:4,4x06:11,4x07:16,4x08:9,4x09:11,4x10:8,4x11:8,4x12:4,4x13:7,5x01:8,5x02:11,5x03:7,5x04:15,5x05:6,5x06:9,5x07:9,5x08:6,5x09:9,5x10:10,5x11:18,5x12:7,5x13:7,5x14:6,5x15:12,5x16:7"
